,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,Weekly,Video_id,publishedAt,Classification
11,12,10.0,Malvadão 3,Xamã,17,6625619,-4.5%,https://www.youtube.com/watch?v=i9NOkjmBszo,2022-04-14,i9NOkjmBszo,2021-11-30 15:00:10,Frontline
12,13,15.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,13,6454627,2.5%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-04-14,kyfXEMqvLgU,2022-01-14 15:00:10,Frontline
13,14,11.0,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,10,6366652,-7.7%,https://www.youtube.com/watch?v=I_gwjhvXxzM,2022-04-14,I_gwjhvXxzM,2022-02-23 15:00:41,Frontline
14,15,5.0,Envolver,Anitta,12,5995421,-29.5%,https://www.youtube.com/watch?v=hFCjGiawJi4,2022-04-14,hFCjGiawJi4,2021-11-12 00:59:27,Frontline
15,16,16.0,Vontade De Morder,Simone & Simaria & Zé Felipe,13,5881099,-2.4%,https://www.youtube.com/watch?v=bgf18kANm_k,2022-04-14,bgf18kANm_k,2022-01-14 14:01:12,Frontline
16,17,18.0,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",25,5378667,5.3%,https://www.youtube.com/watch?v=TNIbXs_iNq8,2022-04-14,TNIbXs_iNq8,2021-10-08 20:57:29,Frontline
17,18,19.0,A Maior Saudade (Ao Vivo),Henrique & Juliano,32,5251651,4%,https://www.youtube.com/watch?v=6EGg0_l-edc,2022-04-14,6EGg0_l-edc,2021-09-03 15:00:14,Frontline
18,19,17.0,Depende,Dj Guuga,17,5155740,-8.6%,https://www.youtube.com/watch?v=v9geHIUOxeA,2022-04-14,v9geHIUOxeA,2022-01-21 15:00:38,Frontline
19,20,63.0,Assault (Carro Forte),"Orochi, Chefin, Oruam, Borges, Mainstreet & Bielzin",2,4944615,134%,https://www.youtube.com/watch?v=n43oZSY7df0,2022-04-14,n43oZSY7df0,2022-04-05 21:00:20,Frontline
20,21,20.0,Deus É o Meu Guia,Chefin Oficial,7,4899331,0.8%,https://www.youtube.com/watch?v=WrZ6fKelwOU,2022-04-14,WrZ6fKelwOU,2022-02-25 16:00:13,Frontline
21,22,22.0,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,19,4734856,5%,https://www.youtube.com/watch?v=BKDz5kNjkfU,2022-04-14,BKDz5kNjkfU,2021-12-07 17:00:08,Frontline
22,23,23.0,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,20,4565444,3.7%,https://www.youtube.com/watch?v=6MNxuMgg58k,2022-04-14,6MNxuMgg58k,2021-11-26 21:00:08,Frontline
23,24,24.0,Parada Louca,Mari Fernandez & Marcynho Sensação,22,4416013,0.7%,https://www.youtube.com/watch?v=SvWQZfEWA0s,2022-04-14,SvWQZfEWA0s,2021-11-26 14:00:21,Frontline
