Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
76,56,CACHORRINHAS,Luísa Sonza,13,2035937,-6.6%,https://www.youtube.com/watch?v=__ur8Ykcivw
77,74,Melodia Alucinógena,DJ AK BR & Dj Darge,10,2027009,5.6%,https://www.youtube.com/watch?v=SQ309FXp1KI
78,68,"Vida Loka, Pt. 1 (Live)",Racionais MC's,20,2008240,1.4%,https://www.youtube.com/watch?v=IL1epaZCTmk
79,81,"Noite Paulista (feat. Mc Luki, Gabb MC & MC PH)","Mc IG, MC Ryan SP & Mc Paiva ZS",5,1976450,12.7%,https://www.youtube.com/watch?v=SklvRBIrI88
80,73,Cigana (Ao Vivo) (feat. Delacruz),Ludmilla,7,1963317,1.7%,https://www.youtube.com/watch?v=lZ_kegYXFWU
81,54,Eu Tenho a Senha (Ao Vivo),João Gomes,6,1931576,-12.3%,https://www.youtube.com/watch?v=deVm70yarNw
82,,Bafora o Lança (feat. menor adr),Mario MC,1,1923763,,https://www.youtube.com/watch?v=RoNVYaKAZpQ
83,80,"Só Era Pix, Não Era Amor (feat. MC Hariel)",Mc IG & DJ BOY,5,1910023,6%,https://www.youtube.com/watch?v=U2rocqmbqBA
84,87,Tu Tava Na Revoada,Wesley Safadão,21,1873094,10.4%,https://www.youtube.com/watch?v=GmlBAosY3V0
85,85,Falta Você,Thiaguinho,19,1869694,9.6%,https://www.youtube.com/watch?v=Qj-qS4aV0UY
86,53,Não Aceito Mais (Ao Vivo),João Gomes,4,1857061,-17.6%,https://www.youtube.com/watch?v=sllfKTGARPU
87,86,Bondade de Deus (Ao Vivo),Isaías Saad,8,1854562,8.8%,https://www.youtube.com/watch?v=mZ9yZYo9Mmk
88,65,Shut Down,BLACKPINK,4,1840783,-8.2%,https://www.youtube.com/watch?v=POe9SOEKotk
89,75,202,Kweller & Enzo Cello,9,1840497,-2.1%,https://www.youtube.com/watch?v=ZPo_lMVkAxo
90,90,Vestido No Chão (Ao Vivo),Hugo & Guilherme,5,1833694,11.2%,https://www.youtube.com/watch?v=fFNt_dC9NyU
91,70,Predestinado,Oruam,12,1831938,-5.9%,https://www.youtube.com/watch?v=kqPSfz_bCX8
92,94,Only Love Can Hurt Like This,Paloma Faith,15,1813789,12%,https://www.youtube.com/watch?v=PaKr9gWqwl4
93,,Dark Horse (feat. Juicy J),Katy Perry,1,1793121,,https://www.youtube.com/watch?v=0KSOMA3QBU0
94,83,Insônia (Ao Vivo),Ludmilla & Marília Mendonça,7,1743227,1%,https://www.youtube.com/watch?v=NpRT4arxb_Y
95,89,Se Não Tivesse Ido / Frio da Madrugada / Mensagem Pra Ela (Ao Vivo),"Hugo & Guilherme, Fred e Fabrício & Murilo Huff",4,1735611,4.5%,https://www.youtube.com/watch?v=fyEW5nT98_g
96,,Cheiro da Karolina,Luiz Poderoso Chefão,1,1728346,,https://www.youtube.com/watch?v=9gbWg7EGFEc
97,84,Sweater Weather,The Neighbourhood,17,1716339,-0.2%,https://www.youtube.com/watch?v=GCdwKhTtNNw
98,,Vontade De Morder,Simone & Simaria & Zé Felipe,28,1680339,,https://www.youtube.com/watch?v=bgf18kANm_k
99,96,Na Movimentação (feat. Faixa Rosa),"MC Bruna Alves, MC Livinho & Theus Costa",7,1655972,3.5%,https://www.youtube.com/watch?v=NyFNxqCjCcc
100,,Todo Mundo Menos Você,Marília Mendonça & Maiara & Maraisa,30,1647510,,https://www.youtube.com/watch?v=UDVr3ab3NVM
